#	ItemEffectTable													
#	ID		Name	Description	EffectType	TargetType	ValueType	BaseValue	ScaleValue	Duration	CoolDown	TriggerCondition	EffectIds	SoundId	ParticleId	AnimationId
#	int		string	string	int	int	int	float	float	float	float	int	int[]	int	int	int
#	效果ID	备注	效果名称	效果描述	效果类型	目标类型	数值类型	基础数值	缩放数值	持续时间	冷却时间	触发条件	子效果ID列表	音效ID	粒子特效ID	动画ID
	1001		生命恢复	恢复目标生命值	1	1	1	50.0	0.0	0.0	0.0	0	0	2001	3001	4001
	1002		魔法恢复	恢复目标魔法值	2	1	1	30.0	0.0	0.0	0.0	0	0	2002	3002	4002
	1003		攻击力提升	临时提升攻击力	3	1	2	0.0	0.2	10.0	0.0	0	0	2003	3003	4003
	1004		防御力提升	临时提升防御力	4	1	2	0.0	0.15	15.0	0.0	0	0	2004	3004	4004
	1005		速度提升	临时提升移动速度	5	1	2	0.0	0.3	8.0	0.0	0	0	2005	3005	4005
	1006		毒素伤害	持续造成毒素伤害	6	2	1	10.0	0.0	5.0	1.0	0	0	2006	3006	4006
	1007		灼烧伤害	持续造成火焰伤害	7	2	1	15.0	0.0	3.0	0.5	0	0	2007	3007	4007
	1008		冰冻效果	冻结目标无法行动	8	2	0	0.0	0.0	2.0	0.0	0	0	2008	3008	4008
	1009		眩晕效果	眩晕目标无法行动	9	2	0	0.0	0.0	1.5	0.0	0	0	2009	3009	4009
	1010		护盾效果	吸收一定伤害	10	1	1	100.0	0.0	20.0	0.0	0	0	2010	3010	4010
	1011		全属性提升	提升所有基础属性	11	1	2	0.0	0.1	30.0	0.0	0	1012,1013,1014	2011	3011	4011
	1012		攻击力子效果	攻击力提升子效果	3	1	2	0.0	0.1	30.0	0.0	0	0	0	0	0
	1013		防御力子效果	防御力提升子效果	4	1	2	0.0	0.1	30.0	0.0	0	0	0	0	0
	1014		速度子效果	速度提升子效果	5	1	2	0.0	0.1	30.0	0.0	0	0	0	0	0
	1015		范围治疗	治疗范围内所有友军	1	3	1	40.0	0.0	0.0	0.0	0	0	2015	3015	4015
	1016		范围伤害	对范围内敌人造成伤害	12	4	1	80.0	0.0	0.0	0.0	0	0	2016	3016	4016
	1017		吸血效果	攻击时恢复生命值	13	1	2	0.0	0.2	0.0	0.0	1	0	2017	3017	4017
	1018		反弹伤害	受到攻击时反弹伤害	14	2	2	0.0	0.3	0.0	0.0	2	0	2018	3018	4018
	1019		暴击率提升	提升暴击率	15	1	2	0.0	0.25	12.0	0.0	0	0	2019	3019	4019
	1020		经验加成	获得经验值加成	16	1	2	0.0	0.5	0.0	0.0	0	0	2020	3020	4020
