#	PlayerDataTable											
#	ID		Level	RequiredExp	MaxDomination	InventorySize	MaxHolyWater	UnlockFeature	RewardItemId	RewardCount	WeightLimit	WeightMoveSpeedEffect
#	int		int	int	int	int	int	string	int	int	int	float
#	配置ID	备注	玩家等级	所需经验	统御力上限	背包容量	圣水携带上限	解锁功能	奖励道具ID	奖励数量	玩家负重限制(克)	负重移速系数
	1		1	100	3	20	2	""	0	0	5000	0.8
	2		2	150	3	21	2	""	0	0	5100	0.8
	3		3	200	3	22	2	""	0	0	5200	0.8
	4		4	350	4	22	2	""	0	0	5300	0.8
	5		5	500	4	24	3	""	0	0	5500	0.8
	6		6	650	4	24	3	""	0	0	5700	0.8
	7		7	850	5	26	3	""	0	0	5900	0.8
	8		8	1100	5	26	3	""	0	0	6100	0.8
	9		9	1500	5	28	4	""	0	0	6300	0.8
	10		10	2000	6	28	4	""	0	0	6500	0.8
	11		11	2400	6	30	4	""	0	0	6700	0.8
	12		12	3000	6	30	5	""	0	0	6900	0.8
	13		13	3800	7	32	5	""	0	0	7100	0.8
	14		14	4800	7	32	5	""	0	0	7300	0.8
	15		15	5800	7	34	6	""	0	0	7500	0.8
	16		16	6400	8	34	6	""	0	0	7700	0.8
	17		17	7000	8	36	6	""	0	0	7900	0.8
	18		18	7400	8	36	7	""	0	0	8100	0.8
	19		19	7800	9	38	7	""	0	0	8300	0.8
	20		20	8000	10	40	8	""	0	0	8500	0.8
	21		21	10500	10	40	8	""	0	0	8700	0.8
	22		22	13500	10	42	8	""	0	0	8900	0.8
	23		23	16500	11	42	9	""	0	0	9100	0.8
	24		24	20000	11	44	9	""	0	0	9300	0.8
	25		25	24000	11	44	9	""	0	0	9500	0.8
	26		26	27000	12	46	10	""	0	0	9700	0.8
	27		27	29500	12	46	10	""	0	0	9900	0.8
	28		28	32500	12	48	10	""	0	0	10100	0.8
	29		29	34000	13	48	11	""	0	0	10300	0.8
	30		30	37000	13	50	12	""	0	0	10800	0.8
	31		31	39000	13	50	12	""	0	0	11000	0.8
	32		32	41500	14	52	12	""	0	0	11200	0.8
	33		33	45000	14	52	13	""	0	0	11400	0.8
	34		34	49000	14	54	13	""	0	0	11600	0.8
	35		35	53000	15	56	14	""	0	0	12000	0.8
	36		36	57000	15	56	14	""	0	0	12200	0.8
	37		37	62000	15	58	14	""	0	0	12400	0.8
	38		38	67000	16	58	15	""	0	0	12600	0.8
	39		39	74500	16	60	15	""	0	0	12800	0.8
	40		40	83000	17	62	16	""	0	0	13500	0.8
	41		41	88000	17	62	16	""	0	0	13700	0.8
	42		42	92000	17	64	16	""	0	0	13900	0.8
	43		43	96000	18	64	17	""	0	0	14100	0.8
	44		44	100000	18	66	17	""	0	0	14300	0.8
	45		45	104000	19	68	18	""	0	0	14800	0.8
	46		46	108000	19	68	18	""	0	0	15000	0.8
	47		47	110000	19	70	19	""	0	0	15200	0.8
	48		48	114000	20	70	19	""	0	0	15400	0.8
	49		49	118000	20	72	20	""	0	0	15600	0.8
	50		50	122000	20	74	20	""	0	0	16000	0.8
	51		51	126000	21	74	20	""	0	0	16200	0.8
	52		52	128000	21	76	21	""	0	0	16400	0.8
	53		53	132000	21	76	21	""	0	0	16600	0.8
	54		54	136000	22	78	22	""	0	0	16800	0.8
	55		55	140000	22	78	22	""	0	0	17000	0.8
	56		56	142000	22	80	23	""	0	0	17200	0.8
	57		57	144000	23	80	23	""	0	0	17400	0.8
	58		58	146000	23	82	24	""	0	0	17600	0.8
	59		59	148000	24	82	24	""	0	0	17800	0.8
	60		60	0	24	84	24	""	0	0	18000	0.8
