#	ItemTable
#	Id		Name	Type	Quality	Description	IconId	DetailIconId	CanStack	MaxStackCount	CanUse	UseEffectId	CanEquip	SpecialEffectId	AffixPoolIds	AffixMinCount	AffixMaxCount	SynergyIds	BaseAttributes	SellPrice	Value	Weight	MaxDurability
#	int		string	int	int	string	int	int	int	int	int	int	int	int	int[]	int	int	int[]	string	int	int	int	int
#	物品ID	备注	物品名称	物品类型	品质等级	物品描述	缩略图资源ID	详细图资源ID	是否可堆叠	最大堆叠数	是否可使用	使用效果ID	是否可装备	特殊效果ID	词条池ID列表	词条最小数量	词条最大数量	羁绊ID列表	基础属性(JSON格式)	售价		重量(克)	最大耐久度
	100		卡牌-神圣庇护	1	2	使用后解锁卡牌：神圣庇护	2001	0	1	1	1	2001	0	0	0	0	0	0	{}	30	100	50	0
	101		卡牌-烈焰风暴	1	3	使用后解锁卡牌：烈焰风暴	2002	0	1	1	1	2002	0	0	0	0	0	0	{}	50	300	50	0
	102		卡牌-时间回溯	1	3	使用后解锁卡牌：时间回溯	2003	0	1	1	1	2003	0	0	0	0	0	0	{}	50	300	50	0
	103		卡牌-战争号角	1	2	使用后解锁卡牌：战争号角	2004	0	1	1	1	2004	0	0	0	0	0	0	{}	30	100	50	0
	104		卡牌-暗影突袭	1	3	使用后解锁卡牌：暗影突袭	2005	0	1	1	1	2005	0	0	0	0	0	0	{}	50	300	50	0
	105		卡牌-生命汲取	1	3	使用后解锁卡牌：生命汲取	2006	0	1	1	1	2006	0	0	0	0	0	0	{}	50	300	50	0
	106		卡牌-冰霜新星	1	2	使用后解锁卡牌：冰霜新星	2007	0	1	1	1	2007	0	0	0	0	0	0	{}	30	100	50	0
	107		卡牌-狂暴	1	2	使用后解锁卡牌：狂暴	2008	0	1	1	1	2008	0	0	0	0	0	0	{}	30	100	50	0
	108		卡牌-群体治疗	1	2	使用后解锁卡牌：群体治疗	2009	0	1	1	1	2009	0	0	0	0	0	0	{}	30	100	50	0
	109		卡牌-雷霆一击	1	4	使用后解锁卡牌：雷霆一击	2010	0	1	1	1	2010	0	0	0	0	0	0	{}	100	800	50	0
	110		卡牌-混乱诅咒	1	3	使用后解锁卡牌：混乱诅咒	2011	0	1	1	1	2011	0	0	0	0	0	0	{}	50	300	50	0
	111		卡牌-不屈意志	1	4	使用后解锁卡牌：不屈意志	2012	0	1	1	1	2012	0	0	0	0	0	0	{}	100	800	50	0
	112		卡牌-反伤之盾	1	2	使用后解锁卡牌：反伤之盾	2013	0	1	1	1	2013	0	0	0	0	0	0	{}	30	100	50	0
	113		卡牌-圣域防线	1	3	使用后解锁卡牌：圣域防线	2014	0	1	1	1	2014	0	0	0	0	0	0	{}	50	300	50	0
	114		卡牌-护盾再生	1	3	使用后解锁卡牌：护盾再生	2015	0	1	1	1	2015	0	0	0	0	0	0	{}	50	300	50	0
	115		卡牌-救赎之光	1	3	使用后解锁卡牌：救赎之光	2016	0	1	1	1	2016	0	0	0	0	0	0	{}	50	300	50	0
	116		卡牌-血源强化	1	3	使用后解锁卡牌：血源强化	2017	0	1	1	1	2017	0	0	0	0	0	0	{}	50	300	50	0
	117		卡牌-吸血之刃	1	3	使用后解锁卡牌：吸血之刃	2018	0	1	1	1	2018	0	0	0	0	0	0	{}	50	300	50	0
	118		卡牌-灾厄之雷	1	3	使用后解锁卡牌：灾厄之雷	2019	0	1	1	1	2019	0	0	0	0	0	0	{}	50	300	50	0
	119		卡牌-护甲破碎	1	3	使用后解锁卡牌：护甲破碎	2020	0	1	1	1	2020	0	0	0	0	0	0	{}	50	300	50	0
	120		卡牌-虚弱诅咒	1	2	使用后解锁卡牌：虚弱诅咒	2021	0	1	1	1	2021	0	0	0	0	0	0	{}	30	100	50	0
	121		卡牌-沉默之符	1	3	使用后解锁卡牌：沉默之符	2022	0	1	1	1	2022	0	0	0	0	0	0	{}	50	300	50	0
	122		卡牌-嘲讽之声	1	2	使用后解锁卡牌：嘲讽之声	2023	0	1	1	1	2023	0	0	0	0	0	0	{}	30	100	50	0
	123		卡牌-剧毒之雾	1	2	使用后解锁卡牌：剧毒之雾	2024	0	1	1	1	2024	0	0	0	0	0	0	{}	30	100	50	0
	124		卡牌-伤害转移	1	3	使用后解锁卡牌：伤害转移	2025	0	1	1	1	2025	0	0	0	0	0	0	{}	50	300	50	0
	125		卡牌-绝对零度	1	4	使用后解锁卡牌：绝对零度	2026	0	1	1	1	2026	0	0	0	0	0	0	{}	100	800	50	0
